history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MOEX10;2020-10-23;Индекс МосБиржи 10;Индекс МосБиржи 10;4626,76;4607,9;4641,96;4593;38401671677,7;0;0;2;9744109508033,75;RUB;5009,220000
SNDX;MOEX10;2020-10-22;Индекс МосБиржи 10;Индекс МосБиржи 10;4600,04;4550,95;4612,36;4550,95;38822793308,05;0;0;2;9665063673060,756;RUB;5009,220000
SNDX;MOEX10;2020-10-21;Индекс МосБиржи 10;Индекс МосБиржи 10;4559,74;4606,09;4625,6;4552,1;47447143399,35;0;0;2;9615745381850,686;RUB;5009,220000
SNDX;MOEX10;2020-10-20;Индекс МосБиржи 10;Индекс МосБиржи 10;4590,69;4545,71;4603,32;4515,69;48306739083,95;0;0;2;9683302627559,557;RUB;5009,220000
SNDX;MOEX10;2020-10-19;Индекс МосБиржи 10;Индекс МосБиржи 10;4558,76;4576,91;4593,7;4549,18;31464460562,2;0;0;2;9612992028353,207;RUB;5009,220000
SNDX;MOEX10;2020-10-16;Индекс МосБиржи 10;Индекс МосБиржи 10;4581,6;4614,95;4614,95;4561,19;46927758289,6;0;0;2;9636759886078,193;RUB;5009,220000
SNDX;MOEX10;2020-10-15;Индекс МосБиржи 10;Индекс МосБиржи 10;4608,57;4658,88;4662,16;4581,15;43567750228,55;0;0;2;9728510497968,271;RUB;5009,220000
SNDX;MOEX10;2020-10-14;Индекс МосБиржи 10;Индекс МосБиржи 10;4669,67;4626,56;4670,66;4618,78;32866066628,65;0;0;2;9857262314551,127;RUB;5009,220000
SNDX;MOEX10;2020-10-13;Индекс МосБиржи 10;Индекс МосБиржи 10;4628,46;4659,25;4677,9;4617,54;34856282004,6;0;0;2;9789941679447,283;RUB;5009,220000
SNDX;MOEX10;2020-10-12;Индекс МосБиржи 10;Индекс МосБиржи 10;4662,73;4675,67;4697,8;4652,12;36878952480,25;0;0;2;9838111401455,008;RUB;5009,220000
SNDX;MOEX10;2020-10-09;Индекс МосБиржи 10;Индекс МосБиржи 10;4670,87;4681,87;4682,6;4629,71;45963486861,8;0;0;2;9828153759220;RUB;5009,220000
SNDX;MOEX10;2020-10-08;Индекс МосБиржи 10;Индекс МосБиржи 10;4698,1;4703,72;4715,19;4677,68;36023077921,1;0;0;2;9851594697130;RUB;5009,220000
SNDX;MOEX10;2020-10-07;Индекс МосБиржи 10;Индекс МосБиржи 10;4694,17;4769,7;4783,6;4684,97;44664457322,2;0;0;2;9839593142140;RUB;5009,220000
SNDX;MOEX10;2020-10-06;Индекс МосБиржи 10;Индекс МосБиржи 10;4792,34;4776,95;4818,44;4775,58;50850875022,6;0;0;2;10033892769200;RUB;5009,220000
